x =  0.04098239 	dxcalc =  3.682855e-05 	f(x) =  94.81796	dist =  1.963228
x =  0.04101922 	dxcalc =  3.824574e-05 	f(x) =  92.85537	dist =  1.962589
x =  0.04105746 	dxcalc =  3.974416e-05 	f(x) =  90.89344	dist =  1.961929
x =  0.04109721 	dxcalc =  4.132998e-05 	f(x) =  88.93219	dist =  1.961247
x =  0.04113854 	dxcalc =  4.300994e-05 	f(x) =  86.97165	dist =  1.960543
x =  0.04118155 	dxcalc =  4.479143e-05 	f(x) =  85.01183	dist =  1.959815
x =  0.04122634 	dxcalc =  4.668253e-05 	f(x) =  83.05277	dist =  1.959062
x =  0.04127302 	dxcalc =  4.869216e-05 	f(x) =  81.09449	dist =  1.958283
x =  0.04132171 	dxcalc =  5.083008e-05 	f(x) =  79.13701	dist =  1.957477
x =  0.04137254 	dxcalc =  5.31071e-05 	f(x) =  77.18037	dist =  1.956642
x =  0.04142565 	dxcalc =  5.553508e-05 	f(x) =  75.22459	dist =  1.955778
x =  0.04148119 	dxcalc =  5.812718e-05 	f(x) =  73.26971	dist =  1.954883
x =  0.04153931 	dxcalc =  6.089793e-05 	f(x) =  71.31575	dist =  1.953956
x =  0.04160021 	dxcalc =  6.386345e-05 	f(x) =  69.36276	dist =  1.952995
x =  0.04166407 	dxcalc =  6.70416e-05 	f(x) =  67.41076	dist =  1.952
x =  0.04173112 	dxcalc =  7.045227e-05 	f(x) =  65.45979	dist =  1.950967
x =  0.04180157 	dxcalc =  7.411758e-05 	f(x) =  63.50989	dist =  1.949897
x =  0.04187569 	dxcalc =  7.806219e-05 	f(x) =  61.5611	dist =  1.948788
x =  0.04195375 	dxcalc =  8.231363e-05 	f(x) =  59.61347	dist =  1.947638
x =  0.04203606 	dxcalc =  8.69027e-05 	f(x) =  57.66702	dist =  1.946445
x =  0.04212296 	dxcalc =  9.186384e-05 	f(x) =  55.72181	dist =  1.94521
x =  0.04221483 	dxcalc =  9.723569e-05 	f(x) =  53.77788	dist =  1.94393
x =  0.04231206 	dxcalc =  0.0001030616 	f(x) =  51.83528	dist =  1.942606
x =  0.04241512 	dxcalc =  0.0001093902 	f(x) =  49.89404	dist =  1.941235
x =  0.04252451 	dxcalc =  0.0001162762 	f(x) =  47.95422	dist =  1.93982
x =  0.04264079 	dxcalc =  0.0001237812 	f(x) =  46.01586	dist =  1.938359
x =  0.04276457 	dxcalc =  0.0001319742 	f(x) =  44.07901	dist =  1.936854
x =  0.04289655 	dxcalc =  0.0001409331 	f(x) =  42.1437	dist =  1.935308
x =  0.04303748 	dxcalc =  0.0001507451 	f(x) =  40.20998	dist =  1.933724
