>> interpol()
x       	p(x)    	y(x)    	|p-y|   
--------    --------    --------    --------
0.000000	1.000000	1.000000	0.000000
0.010000	1.121242	1.003862	0.117379
0.020000	1.237083	1.007336	0.229748
0.030000	1.347628	1.010417	0.337211
0.040000	1.452977	1.013100	0.439876
0.050000	1.553230	1.015382	0.537848
0.060000	1.648487	1.017258	0.631229
0.070000	1.738846	1.018724	0.720123
0.080000	1.824405	1.019775	0.804630
0.090000	1.905260	1.020409	0.884851
0.100000	1.981508	1.020621	0.960886
0.110000	2.053241	1.020409	1.032832
0.120000	2.120554	1.019768	1.100786
0.130000	2.183540	1.018695	1.164845
0.140000	2.242291	1.017188	1.225103
0.150000	2.296896	1.015243	1.281653
0.160000	2.347446	1.012858	1.334588
0.170000	2.394031	1.010030	1.384001
0.180000	2.436737	1.006756	1.429980
0.190000	2.475651	1.003035	1.472616
0.200000	2.510861	0.998865	1.511996
0.210000	2.542451	0.994242	1.548208
0.220000	2.570505	0.989167	1.581338
0.230000	2.595107	0.983636	1.611471
0.240000	2.616339	0.977649	1.638690
0.250000	2.634283	0.971205	1.663078
0.260000	2.649019	0.964302	1.684717
0.270000	2.660627	0.956939	1.703688
0.280000	2.669187	0.949117	1.720070
0.290000	2.674775	0.940834	1.733941
0.300000	2.677469	0.932090	1.745379
0.310000	2.677346	0.922886	1.754461
0.320000	2.674481	0.913220	1.761260
0.330000	2.668947	0.903094	1.765853
0.340000	2.660819	0.892508	1.768311
0.350000	2.650170	0.881462	1.768707
0.360000	2.637071	0.869958	1.767112
0.370000	2.621593	0.857997	1.763596
0.380000	2.603807	0.845579	1.758227
0.390000	2.583781	0.832707	1.751074
0.400000	2.561585	0.819382	1.742203
0.410000	2.537286	0.805606	1.731680
0.420000	2.510950	0.791381	1.719570
0.430000	2.482645	0.776709	1.705936
0.440000	2.452434	0.761592	1.690841
0.450000	2.420382	0.746035	1.674347
0.460000	2.386553	0.730038	1.656515
0.470000	2.351010	0.713607	1.637403
0.480000	2.313813	0.696743	1.617071
0.490000	2.275025	0.679450	1.595575
0.500000	2.234706	0.661732	1.572973
0.510000	2.192915	0.643594	1.549321
0.520000	2.149710	0.625039	1.524671
0.530000	2.105150	0.606071	1.499079
0.540000	2.059292	0.586696	1.472596
0.550000	2.012192	0.566917	1.445275
0.560000	1.963905	0.546740	1.417165
0.570000	1.914487	0.526171	1.388316
0.580000	1.863991	0.505214	1.358777
0.590000	1.812471	0.483875	1.328596
0.600000	1.759978	0.462160	1.297818
0.610000	1.706566	0.440075	1.266491
0.620000	1.652284	0.417626	1.234658
0.630000	1.597183	0.394820	1.202363
